DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITF6,2021,1189610,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2012,4331580,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2013,4473376,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2014,4621370,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2015,4528859,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2016,4408499,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2017,4857542,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2018,4998055,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2019,5120421,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2020,2206469,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG1,2021,3113379,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2012,2119118,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2013,2174232,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2014,2391408,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2015,2609692,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2016,2879495,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2017,3097366,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2018,3280894,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2019,3444058,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2020,1475520,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITG2,2021,2466091,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2012,3421140,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2013,3450620,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2014,3498318,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2015,3783916,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2016,4040571,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2017,4290198,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2018,4415851,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2019,4528179,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2020,2762061,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH2,2021,2990750,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2012,15818490,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2013,15984757,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2014,16262831,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2015,17256892,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2016,17856567,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2017,19172576,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2018,19563348,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2019,20194655,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2020,7860491,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH3,2021,11853659,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2012,2093070,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2013,2060785,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2014,2074743,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2015,2180766,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2016,2321471,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2017,2448834,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2018,2610097,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2019,2650717,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2020,1274199,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH4,2021,1914388,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2012,9097401,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2013,9037868,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2014,9196421,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2015,9737140,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2016,10319159,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2017,11051890,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2018,11458497,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2019,11597928,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2020,5673521,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITH5,2021,8002741,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2012,11938863,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2013,12052488,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2014,12385052,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2015,12768513,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2016,12815344,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2017,13601245,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2018,14188009,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2019,14346280,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2020,5565080,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI1,2021,8384537,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2012,2181040,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2013,2182531,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2014,2320785,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2015,2394671,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2016,2369196,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2017,2125056,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2018,2436857,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2019,2437368,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2020,1136075,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI2,2021,1672479,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2012,2220738,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2013,2224348,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2014,2263494,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2015,2350668,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2016,2375784,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2017,2117055,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2018,2256564,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2019,2417288,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2020,1598561,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI3,2021,2059423,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2012,10298408,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2013,10298408,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2014,10367031,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2015,10977959,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2016,11419308,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2017,11591827,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2018,12575617,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2019,12857606,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2020,3236589,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),22/05/23 23:00:00,A,TOTAL,NR,I551-I553,ITI4,2021,4579406,
